GENDER,RACE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,AGE_continuous,DRIVING_EXPERIENCE_continuous,OUTCOME
female,majority,university,working class,0.351117824,0,after 2015,1,1,10238,8000,sedan,2,0,1,29,12,0
male,majority,high school,poverty,0.431561468,1,before 2015,0,0,10238,14000,sedan,0,0,0,23,9,1
female,majority,high school,upper class,0.647540893,1,after 2015,0,1,10238,,sedan,0,0,0,66,9,0
female,majority,high school,working class,0.409677774,0,before 2015,0,0,10238,13000,sedan,0,0,0,50,7,1
female,majority,none,poverty,0.279634541,0,before 2015,0,0,10238,15000,sedan,0,0,0,25,1,1
female,majority,none,working class,0.192427412,0,before 2015,0,1,32765,11000,sedan,0,0,0,23,0,1
female,majority,none,middle class,0.420849226,0,before 2015,1,1,10238,,sedan,0,0,1,68,15,0
male,majority,university,middle class,0.613793495,1,after 2015,1,1,10238,14000,sedan,0,0,0,19,3,1
male,majority,high school,upper class,0.566352368,1,after 2015,1,1,10238,,sedan,2,1,1,60,22,0
female,majority,university,upper class,0.527102887,1,before 2015,1,0,10238,11000,sports car,2,1,1,57,29,0
female,majority,high school,upper class,0.794671196,1,after 2015,1,1,10238,,sedan,1,0,1,66,31,0
female,majority,university,upper class,0.51725784,1,before 2015,1,1,10238,13000,sedan,1,0,0,76,20,0
male,majority,high school,upper class,0.390293636,1,after 2015,1,1,10238,,sedan,1,0,1,69,11,0
female,majority,university,middle class,0.562390089,1,before 2015,0,0,10238,13000,sedan,0,0,1,26,18,0
male,majority,high school,poverty,0.251117974,1,before 2015,0,0,10238,14000,sedan,0,0,0,24,0,1
female,majority,none,poverty,0.411757807,0,before 2015,0,0,10238,18000,sedan,0,0,0,36,19,1
female,majority,high school,working class,0.504696661,0,before 2015,0,1,10238,14000,sedan,0,0,0,25,8,1
female,majority,university,upper class,0.616328912,1,after 2015,0,1,10238,,sedan,0,0,0,67,0,0
female,majority,university,upper class,0.644889557,1,after 2015,0,1,32765,14000,sedan,1,0,0,50,29,0
female,majority,university,upper class,0.508606549,1,before 2015,1,1,10238,9000,sedan,3,0,3,71,31,0
male,majority,university,middle class,0.330887247,1,before 2015,1,0,32765,11000,sedan,12,0,2,44,21,0
male,majority,university,upper class,0.58514385,1,before 2015,1,1,10238,9000,sedan,1,3,1,68,30,0
male,majority,none,working class,,1,before 2015,0,0,10238,12000,sedan,3,0,2,28,18,0
male,majority,university,upper class,0.694260045,1,before 2015,0,1,32765,,sports car,7,1,0,54,27,0
female,minority,none,poverty,0.41414153,1,before 2015,1,1,10238,11000,sedan,0,0,0,33,9,0
male,majority,university,working class,0.371964913,0,before 2015,1,0,10238,14000,sedan,0,0,0,20,3,1
female,majority,university,upper class,0.443931954,0,before 2015,1,1,10238,9000,sedan,3,0,2,73,39,0
female,majority,university,upper class,0.542637655,1,after 2015,0,1,10238,9000,sedan,1,0,0,41,25,0
male,majority,none,poverty,0.481490018,0,before 2015,0,0,10238,21000,sedan,0,0,0,19,3,1
male,majority,university,upper class,0.568042952,1,after 2015,1,1,32765,8000,sedan,0,0,0,77,7,0
male,majority,university,upper class,0.759414518,1,before 2015,1,1,10238,,sedan,0,1,3,65,18,0
female,majority,high school,middle class,0.673509752,0,before 2015,1,1,10238,12000,sedan,0,0,0,42,21,0
male,majority,high school,upper class,0.672874633,0,after 2015,1,1,10238,8000,sedan,3,0,2,44,25,0
female,majority,university,upper class,0.578838476,1,after 2015,1,1,32765,6000,sedan,7,2,0,66,32,0
male,majority,university,upper class,0.603144676,1,after 2015,1,0,10238,12000,sedan,0,0,0,36,4,0
female,majority,none,upper class,0.760070858,1,after 2015,1,1,10238,9000,sedan,2,0,2,74,21,0
female,minority,university,working class,0.434799641,1,before 2015,1,0,10238,11000,sedan,2,0,0,30,15,0
female,majority,university,upper class,0.687578338,1,after 2015,0,1,10238,10000,sedan,0,0,0,66,11,0
male,majority,university,upper class,0.754969479,1,before 2015,1,1,10238,13000,sedan,5,2,0,52,24,0
female,majority,university,upper class,0.611487599,1,after 2015,0,1,32765,9000,sedan,0,0,0,20,4,1
female,majority,high school,poverty,0.44251478,0,before 2015,0,1,10238,13000,sedan,0,0,0,22,3,0
female,majority,high school,working class,0.484824228,1,before 2015,0,0,32765,,sedan,0,0,0,38,18,0
female,majority,high school,working class,0.430181857,1,before 2015,1,1,10238,13000,sedan,0,0,0,32,10,0
male,majority,high school,poverty,0.298873747,1,before 2015,0,1,10238,11000,sedan,0,0,0,22,0,0
male,majority,university,upper class,0.661277815,0,after 2015,1,1,10238,,sedan,0,0,0,76,9,1
male,majority,university,upper class,0.62066023,1,after 2015,1,1,10238,9000,sedan,1,1,2,38,15,0
male,majority,high school,middle class,0.600455164,1,before 2015,1,0,32765,12000,sedan,0,0,0,40,1,1
female,majority,university,working class,0.288166467,1,before 2015,1,1,32765,9000,sedan,3,1,2,34,14,0
female,majority,university,middle class,0.668043683,0,before 2015,0,1,10238,10000,sedan,0,0,1,38,16,0
male,majority,high school,upper class,0.551412827,1,after 2015,1,1,10238,9000,sedan,0,0,0,77,8,0
female,majority,university,upper class,,1,after 2015,1,0,32765,7000,sedan,6,0,1,26,10,1
female,majority,university,upper class,0.644754355,1,after 2015,1,1,10238,,sedan,0,0,0,42,4,0
male,majority,high school,working class,0.377743596,0,before 2015,1,1,10238,,sedan,3,1,2,27,17,0
female,majority,none,working class,0.543877485,0,before 2015,0,1,10238,,sedan,2,0,1,77,33,0
male,majority,high school,working class,0.383320847,1,before 2015,0,1,92101,,sedan,0,0,0,19,4,1
female,majority,university,upper class,0.482927528,1,after 2015,1,0,10238,,sedan,0,0,6,63,21,0
male,majority,high school,upper class,0.679298476,1,after 2015,1,1,32765,7000,sports car,0,0,0,41,7,0
female,majority,high school,working class,0.345672446,0,before 2015,0,1,10238,16000,sedan,0,0,0,28,11,1
male,majority,high school,upper class,0.625625721,1,after 2015,1,1,10238,7000,sedan,7,0,5,77,25,0
male,majority,high school,middle class,0.521804435,1,after 2015,1,1,92101,7000,sedan,2,0,1,58,25,0
male,majority,high school,working class,0.437005917,1,after 2015,1,1,32765,7000,sedan,4,1,2,26,13,0
female,majority,high school,working class,0.544429816,1,after 2015,1,0,32765,14000,sedan,0,0,0,38,6,0
female,majority,university,middle class,0.641720248,0,before 2015,1,1,10238,10000,sedan,0,0,0,49,19,0
male,majority,high school,middle class,0.561740502,1,after 2015,1,0,32765,14000,sedan,6,0,2,74,32,0
male,majority,high school,middle class,,1,after 2015,0,1,10238,14000,sedan,2,0,2,32,13,0
female,majority,university,upper class,0.528570445,1,after 2015,1,1,92101,13000,sedan,2,2,2,69,33,0
male,majority,high school,upper class,0.510902042,1,after 2015,0,1,10238,,sedan,4,0,6,45,24,0
male,minority,none,poverty,0.260456031,0,before 2015,0,0,32765,16000,sedan,0,0,0,26,7,1
female,majority,university,working class,,1,before 2015,0,1,10238,14000,sedan,0,0,1,29,16,0
male,majority,high school,working class,0.455855724,0,before 2015,0,0,10238,13000,sedan,0,1,3,60,25,0
male,minority,high school,upper class,0.70807415,1,after 2015,1,1,10238,10000,sedan,1,0,4,42,29,0
male,minority,high school,middle class,0.619701518,0,before 2015,1,1,10238,13000,sedan,4,1,1,60,26,0
male,majority,university,middle class,0.532612984,1,before 2015,0,1,10238,11000,sedan,1,0,3,45,15,0
female,majority,university,upper class,0.601929654,1,after 2015,1,1,32765,6000,sedan,6,1,1,74,35,0
male,majority,university,upper class,0.606306137,1,after 2015,1,1,10238,10000,sedan,0,0,0,79,9,0
female,majority,high school,upper class,0.6514306,1,before 2015,1,1,10238,11000,sedan,0,0,0,68,2,1
male,majority,high school,poverty,0.326061548,0,before 2015,0,1,10238,10000,sedan,0,0,0,22,5,1
female,minority,none,middle class,0.491795039,1,after 2015,1,1,32765,8000,sedan,5,0,0,48,26,0
female,majority,university,middle class,0.499989904,1,before 2015,1,1,10238,16000,sedan,0,0,1,29,11,0
female,majority,university,upper class,0.627663826,1,after 2015,1,1,10238,10000,sedan,2,2,4,63,23,0
female,majority,none,working class,0.521871913,1,before 2015,0,1,10238,14000,sedan,0,0,0,27,3,1
female,minority,none,poverty,0.360307698,0,before 2015,0,1,10238,16000,sedan,0,0,0,25,8,1
female,majority,high school,working class,0.670584025,1,before 2015,1,0,32765,12000,sedan,0,0,0,17,1,1
female,majority,high school,poverty,0.617332927,1,before 2015,0,1,10238,13000,sedan,0,0,0,34,14,0
female,majority,none,middle class,0.399198419,0,before 2015,1,0,10238,13000,sedan,0,0,0,57,4,1
male,majority,university,upper class,0.674187367,1,before 2015,1,1,92101,7000,sedan,1,0,1,47,20,0
female,majority,none,middle class,0.638743791,0,before 2015,0,1,10238,,sedan,0,0,1,27,14,0
female,majority,university,middle class,0.448756457,1,before 2015,0,0,32765,10000,sedan,1,0,1,37,10,0
female,majority,high school,upper class,0.664886753,1,after 2015,0,1,32765,13000,sedan,3,1,0,80,31,0
male,majority,high school,poverty,0.115402476,0,before 2015,0,0,32765,16000,sedan,2,0,0,48,23,1
male,majority,high school,upper class,0.692491318,1,after 2015,0,1,10238,13000,sedan,4,0,6,67,31,0
female,majority,high school,upper class,0.629338094,1,before 2015,1,0,10238,11000,sedan,2,0,2,74,33,0
male,majority,none,middle class,0.238716698,1,before 2015,1,1,10238,,sedan,2,1,1,39,17,0
male,majority,university,upper class,0.40990158,1,before 2015,1,1,92101,10000,sedan,6,0,0,69,39,0
female,majority,none,poverty,0.398223638,1,before 2015,0,1,10238,9000,sedan,1,0,6,37,18,0
male,majority,university,upper class,,1,before 2015,1,0,10238,17000,sedan,1,0,1,50,26,0
male,majority,university,upper class,0.715403423,1,after 2015,1,1,32765,10000,sedan,0,0,0,20,9,0
male,majority,university,upper class,0.497331736,0,before 2015,1,1,10238,11000,sedan,3,0,10,79,38,0
female,majority,high school,working class,0.507647245,1,after 2015,0,1,10238,14000,sedan,3,0,0,32,13,0
female,majority,high school,poverty,0.492161373,1,before 2015,0,1,10238,15000,sedan,0,0,0,20,0,0
male,majority,university,upper class,0.686122633,1,after 2015,1,1,10238,10000,sedan,6,1,7,69,33,0
female,majority,high school,middle class,0.437313012,1,after 2015,1,0,10238,12000,sedan,1,0,6,76,40,0
female,majority,high school,working class,0.508515717,0,after 2015,0,1,10238,9000,sedan,0,0,1,34,12,0
male,majority,university,upper class,0.542913936,1,before 2015,1,1,32765,7000,sedan,11,0,2,70,37,0
male,majority,high school,middle class,0.523714782,1,before 2015,1,0,10238,15000,sedan,0,0,0,16,3,1
female,majority,high school,upper class,0.495295889,1,before 2015,0,0,32765,13000,sedan,3,0,0,58,25,0
male,majority,high school,upper class,,1,before 2015,1,1,32765,9000,sedan,11,2,1,70,36,0
female,majority,high school,upper class,0.62780369,0,before 2015,1,1,10238,9000,sedan,1,0,0,69,38,0
male,majority,none,upper class,0.678294075,1,after 2015,1,1,10238,8000,sports car,1,0,0,54,10,0
male,majority,none,working class,0.439565827,1,before 2015,0,0,10238,15000,sedan,2,0,5,40,28,0
female,majority,high school,working class,,0,before 2015,0,1,10238,14000,sedan,0,0,0,17,0,1
male,majority,university,upper class,,1,after 2015,1,1,10238,11000,sedan,3,1,0,27,14,0
female,majority,high school,poverty,0.326539889,0,before 2015,0,0,32765,16000,sedan,0,0,0,33,0,1
male,minority,university,middle class,0.340346171,1,after 2015,0,0,10238,12000,sedan,0,0,0,17,5,0
male,majority,high school,poverty,0.30069153,0,before 2015,0,0,10238,12000,sedan,0,0,0,16,8,1
female,majority,high school,poverty,0.433948417,0,before 2015,1,1,10238,12000,sedan,0,0,0,20,6,1
male,majority,university,upper class,0.562346446,1,after 2015,1,1,10238,8000,sedan,1,0,3,34,18,0
male,majority,high school,upper class,0.565003111,1,after 2015,1,0,32765,10000,sedan,6,3,1,44,20,0
female,majority,none,poverty,0.438224062,0,before 2015,0,0,10238,17000,sedan,0,0,0,24,1,1
male,majority,high school,poverty,,1,before 2015,0,0,10238,16000,sedan,0,0,0,31,1,1
female,majority,university,upper class,0.477492954,0,before 2015,0,1,32765,13000,sedan,0,0,0,73,1,1
male,majority,high school,poverty,0.294653558,1,before 2015,1,0,10238,,sedan,0,0,0,18,2,1
female,majority,university,upper class,0.741801583,1,before 2015,1,1,10238,10000,sedan,2,0,0,75,30,0
female,majority,high school,upper class,0.720376608,1,after 2015,0,0,10238,17000,sedan,1,0,0,34,10,0
female,majority,university,upper class,0.624732579,1,after 2015,1,1,10238,11000,sports car,1,1,1,80,33,0
male,minority,high school,upper class,0.526414377,1,before 2015,1,1,10238,12000,sedan,2,1,3,46,24,0
male,majority,university,middle class,,0,before 2015,0,1,10238,12000,sedan,3,1,4,27,12,0
female,majority,high school,upper class,0.498259574,1,before 2015,1,0,10238,11000,sedan,1,0,5,74,30,0
female,majority,high school,poverty,0.360042879,0,before 2015,0,1,10238,17000,sedan,0,0,0,17,9,1
female,majority,university,upper class,0.681523027,1,before 2015,1,1,10238,9000,sedan,1,0,0,79,17,0
male,majority,high school,working class,0.412210836,1,after 2015,0,1,10238,12000,sedan,0,0,1,27,17,0
female,majority,high school,upper class,0.623114484,0,before 2015,1,1,10238,10000,sedan,1,0,0,41,20,0
male,majority,high school,poverty,,0,before 2015,0,0,10238,17000,sedan,0,0,3,29,15,1
male,majority,university,middle class,0.564614206,1,before 2015,0,1,10238,11000,sedan,2,0,1,32,14,1
female,majority,university,upper class,0.591212592,1,after 2015,1,1,10238,13000,sedan,1,0,1,77,10,0
female,majority,high school,poverty,0.41263478,0,before 2015,1,1,10238,9000,sports car,0,0,0,41,5,0
female,minority,high school,poverty,0.393198875,1,before 2015,0,1,32765,,sports car,0,0,0,16,4,0
male,majority,high school,upper class,0.701913544,1,before 2015,0,1,21217,7000,sedan,5,1,2,64,23,1
male,majority,university,upper class,0.698005396,1,before 2015,1,1,21217,12000,sedan,2,0,0,28,14,1
female,majority,high school,working class,0.276344597,0,before 2015,0,1,10238,15000,sports car,0,0,0,16,7,1
male,majority,high school,upper class,0.689858517,1,before 2015,1,1,10238,8000,sedan,0,0,0,66,9,0
female,majority,university,middle class,0.504817976,1,before 2015,1,1,10238,7000,sedan,1,2,4,58,25,0
male,majority,university,middle class,0.532272939,1,before 2015,1,0,10238,9000,sedan,2,0,1,28,19,0
male,majority,university,upper class,0.531462023,1,before 2015,1,1,10238,12000,sedan,8,1,4,64,24,0
female,majority,high school,poverty,0.410993887,0,before 2015,1,1,10238,9000,sedan,0,0,0,18,7,1
female,majority,high school,middle class,0.516383319,1,before 2015,1,0,32765,6000,sedan,0,0,0,24,9,0
female,majority,high school,middle class,,1,before 2015,1,1,32765,5000,sedan,5,0,0,41,22,0
male,majority,none,middle class,0.459981824,1,before 2015,1,1,10238,,sedan,4,1,5,56,20,0
female,majority,university,upper class,0.566925129,0,before 2015,1,1,10238,10000,sedan,0,0,0,65,2,0
male,majority,high school,working class,0.195816512,0,before 2015,0,1,32765,11000,sedan,0,0,2,47,17,1
male,majority,high school,middle class,0.466890959,1,before 2015,1,1,32765,10000,sedan,2,0,1,27,12,0
male,majority,university,upper class,0.636268271,1,after 2015,1,1,32765,,sedan,9,0,2,75,36,0
male,majority,high school,middle class,0.468539378,1,after 2015,0,0,10238,18000,sedan,3,0,3,58,24,0
male,majority,high school,poverty,0.446111965,1,before 2015,0,0,32765,14000,sedan,0,0,0,30,5,1
male,majority,high school,working class,0.292421681,0,before 2015,0,0,10238,12000,sedan,0,0,0,22,0,1
female,majority,none,poverty,0.300332343,1,before 2015,1,0,10238,14000,sedan,0,0,0,24,5,1
female,majority,university,upper class,0.595936357,1,after 2015,1,1,32765,,sedan,1,0,0,66,13,0
male,majority,university,upper class,,1,before 2015,1,1,32765,10000,sedan,13,1,6,76,30,0
male,majority,high school,middle class,0.469297656,0,before 2015,1,1,32765,8000,sedan,2,0,0,55,13,0
female,majority,none,working class,0.380538115,0,before 2015,1,1,10238,10000,sedan,0,0,0,29,3,1
female,majority,high school,poverty,0.169406553,0,before 2015,0,0,10238,14000,sedan,0,0,0,25,8,1
female,majority,high school,middle class,0.549259879,1,before 2015,1,1,10238,13000,sedan,1,0,1,44,15,0
male,majority,none,working class,0.199917765,0,before 2015,0,0,10238,,sedan,0,0,0,38,18,0
female,majority,none,poverty,0.228457522,1,before 2015,0,0,10238,14000,sedan,0,0,0,19,7,0
male,majority,high school,middle class,0.519322805,1,after 2015,0,1,92101,,sedan,0,0,0,22,1,1
female,majority,university,upper class,0.6502647,1,before 2015,1,1,10238,12000,sedan,3,1,0,49,24,0
female,majority,university,upper class,0.612468484,1,after 2015,1,1,32765,4000,sedan,0,0,0,21,6,0
female,majority,high school,poverty,0.242400361,1,before 2015,1,0,10238,11000,sedan,0,0,0,24,2,1
female,majority,university,upper class,0.590976136,1,after 2015,0,0,10238,14000,sedan,0,0,0,36,13,0
female,majority,university,working class,0.398277887,1,after 2015,0,1,10238,,sedan,0,0,0,21,7,0
male,majority,university,upper class,0.645261993,1,after 2015,1,1,10238,7000,sedan,0,0,0,26,8,0
female,majority,none,poverty,0.414553161,1,after 2015,1,1,10238,11000,sports car,0,0,0,35,18,0
male,majority,high school,working class,0.435639067,1,before 2015,0,1,92101,13000,sedan,0,0,0,34,1,1
male,majority,none,poverty,0.364821205,0,before 2015,1,0,32765,11000,sedan,0,0,0,19,4,1
male,majority,university,upper class,0.457278601,1,after 2015,1,1,10238,9000,sedan,5,2,2,62,28,0
female,majority,high school,middle class,,1,before 2015,1,0,10238,14000,sedan,1,0,2,29,14,0
male,majority,university,middle class,0.304644661,1,before 2015,0,1,10238,14000,sedan,0,1,2,27,10,0
female,majority,university,upper class,0.665757984,1,before 2015,1,1,10238,,sedan,1,0,0,46,12,0
female,minority,none,upper class,0.665476908,1,before 2015,0,0,10238,16000,sedan,3,0,0,63,28,0
male,majority,high school,middle class,0.615030453,1,before 2015,0,1,10238,9000,sedan,2,1,3,30,19,0
male,majority,high school,poverty,0.356311431,1,before 2015,0,0,10238,13000,sedan,0,0,0,19,9,1
male,majority,university,middle class,,1,before 2015,1,1,10238,11000,sedan,0,0,0,34,8,0
male,majority,university,upper class,0.845627097,0,before 2015,0,1,32765,,sedan,7,1,0,46,24,1
male,majority,high school,poverty,0.26787678,0,before 2015,0,0,10238,14000,sedan,0,0,0,22,8,1
male,majority,high school,working class,,0,before 2015,1,1,32765,8000,sedan,0,0,0,32,0,0
male,majority,none,poverty,0.498723686,0,after 2015,0,1,92101,13000,sedan,6,0,2,70,39,0
male,majority,none,working class,0.261476899,0,before 2015,1,1,10238,10000,sedan,0,1,4,58,23,0
male,majority,high school,poverty,,1,before 2015,1,1,10238,9000,sedan,0,0,0,19,1,0
male,majority,none,poverty,,0,before 2015,0,1,10238,12000,sedan,0,0,0,16,8,1
female,majority,university,middle class,0.594003409,1,before 2015,1,1,10238,,sedan,0,0,3,34,10,0
male,majority,university,upper class,0.457874238,1,before 2015,1,1,10238,7000,sedan,7,2,8,69,39,0
male,majority,university,upper class,0.697036493,1,after 2015,1,1,10238,11000,sedan,5,0,5,79,37,0
female,majority,university,poverty,,1,before 2015,1,1,32765,9000,sedan,0,0,0,19,2,0
male,minority,none,middle class,0.385141018,1,after 2015,1,0,10238,13000,sedan,0,0,0,42,0,0
male,majority,university,upper class,0.486778133,1,after 2015,1,1,10238,13000,sedan,4,0,5,74,35,0
male,majority,university,upper class,0.527890798,1,after 2015,0,1,10238,12000,sedan,4,2,9,70,33,0
female,majority,none,poverty,0.319476469,0,before 2015,0,0,10238,,sedan,0,0,0,25,2,1
male,majority,high school,middle class,0.619193967,1,before 2015,0,0,10238,,sedan,1,0,0,29,15,0
female,majority,high school,upper class,0.698085096,1,after 2015,0,1,10238,13000,sedan,0,0,0,57,17,0
male,majority,high school,poverty,0.352215896,0,before 2015,0,0,10238,,sedan,0,0,0,21,0,1
male,majority,none,poverty,0.337792703,0,before 2015,0,0,32765,9000,sports car,3,0,0,34,10,0
female,majority,high school,poverty,0.318731245,1,before 2015,1,0,10238,10000,sedan,0,0,0,16,1,0
male,majority,none,working class,0.421747684,0,before 2015,0,1,92101,,sports car,1,0,1,27,13,1
male,majority,university,upper class,0.428475969,1,after 2015,1,1,32765,8000,sedan,0,0,0,32,6,0
female,majority,high school,working class,0.457725702,0,after 2015,1,0,10238,13000,sedan,0,0,0,24,9,0
male,majority,high school,working class,0.281077754,0,before 2015,0,0,32765,12000,sedan,2,0,0,32,17,1
male,majority,university,upper class,0.67520042,0,before 2015,1,1,92101,12000,sedan,5,0,2,62,23,0
male,majority,high school,poverty,0.279579234,1,before 2015,0,1,32765,7000,sedan,0,0,0,23,6,1
female,majority,none,poverty,0.30417503,1,after 2015,0,0,92101,14000,sedan,0,0,0,19,3,1
female,majority,university,upper class,0.679074316,1,after 2015,0,1,10238,13000,sedan,1,0,3,44,29,0
male,majority,high school,middle class,0.493597504,1,before 2015,1,0,10238,13000,sedan,0,0,1,33,16,0
male,majority,university,upper class,0.587330093,1,after 2015,1,1,10238,13000,sedan,1,0,1,58,23,0
male,minority,high school,working class,0.315172895,0,before 2015,0,1,32765,,sedan,5,0,2,35,17,1
female,minority,none,poverty,0.305421423,0,before 2015,1,0,10238,8000,sedan,0,0,0,22,2,1
female,majority,high school,poverty,0.332932446,0,before 2015,0,1,10238,12000,sedan,0,0,1,26,13,0
male,majority,high school,middle class,0.502284965,0,before 2015,0,0,10238,14000,sports car,3,0,4,44,22,0
female,majority,high school,upper class,0.501216103,1,before 2015,1,1,10238,8000,sedan,1,0,1,61,29,0
male,majority,university,upper class,0.556842956,1,before 2015,1,1,32765,,sedan,5,1,0,70,38,0
male,majority,university,upper class,0.611448465,1,before 2015,0,1,10238,11000,sedan,2,0,0,51,29,0
female,majority,high school,working class,0.59933375,1,before 2015,0,1,32765,6000,sedan,0,0,0,22,8,1
male,minority,high school,upper class,0.687822709,1,after 2015,1,1,32765,,sedan,7,0,1,49,27,0
female,majority,none,working class,0.579523594,1,before 2015,1,1,32765,9000,sedan,0,0,0,24,1,0
male,majority,high school,upper class,0.669561971,1,after 2015,1,1,10238,7000,sedan,4,0,5,45,25,0
female,majority,high school,middle class,0.626944308,1,before 2015,0,1,32765,13000,sedan,1,0,0,59,23,0
male,majority,high school,poverty,0.289027267,0,before 2015,0,0,10238,,sedan,0,0,0,20,0,1
female,majority,high school,middle class,0.56770203,1,before 2015,1,1,92101,,sedan,0,0,0,65,2,1
male,majority,university,poverty,0.285239665,1,before 2015,0,0,10238,17000,sedan,0,0,0,25,4,0
female,majority,university,upper class,0.680943099,1,after 2015,1,1,10238,9000,sedan,1,0,2,65,14,0
male,majority,university,upper class,0.721640291,1,after 2015,1,1,10238,11000,sedan,2,0,5,52,27,0
male,majority,university,working class,0.390847395,1,before 2015,1,0,10238,15000,sedan,0,0,2,35,16,1
female,majority,high school,working class,0.438797741,0,before 2015,0,1,32765,9000,sedan,3,1,0,34,13,1
female,majority,university,upper class,0.579712245,1,after 2015,1,1,10238,,sedan,2,0,4,71,33,0
male,majority,none,working class,0.508382297,0,before 2015,0,1,10238,15000,sedan,0,0,0,40,7,1
male,majority,high school,working class,0.29761163,0,before 2015,0,0,10238,12000,sedan,2,0,4,38,12,0
male,majority,university,upper class,0.680928917,1,before 2015,1,0,10238,12000,sedan,1,2,1,27,15,0
female,majority,none,upper class,,1,before 2015,1,0,10238,12000,sedan,1,0,0,26,17,0
male,majority,high school,upper class,0.567032564,1,before 2015,1,1,10238,,sedan,5,0,6,77,20,0
female,majority,university,upper class,0.65955667,1,before 2015,1,1,10238,10000,sedan,0,0,0,73,8,0
male,minority,university,middle class,0.508462578,1,before 2015,0,0,10238,,sedan,1,0,2,31,19,0
male,majority,university,upper class,0.613834436,1,after 2015,0,0,10238,15000,sedan,2,0,0,64,12,0
male,majority,university,middle class,0.541790522,1,before 2015,1,1,10238,9000,sedan,1,0,1,27,19,0
female,majority,university,upper class,0.640208825,1,after 2015,1,1,10238,11000,sedan,1,1,0,68,21,0
female,majority,high school,upper class,0.543446646,1,before 2015,1,1,10238,,sedan,4,1,2,72,39,0
male,majority,high school,poverty,0.327760276,0,before 2015,0,0,10238,16000,sedan,0,0,0,23,6,1
female,majority,high school,middle class,0.626940866,1,before 2015,0,0,10238,17000,sedan,0,0,1,26,16,1
male,majority,university,upper class,0.469799084,0,before 2015,1,1,10238,,sedan,3,0,1,67,30,0
male,majority,none,poverty,0.557410104,0,before 2015,0,0,10238,16000,sedan,0,0,0,19,9,1
male,majority,high school,middle class,0.507474671,1,after 2015,0,1,32765,6000,sedan,6,2,2,51,26,0
male,majority,high school,upper class,0.632199385,1,before 2015,1,0,10238,10000,sedan,2,0,2,53,23,0
male,majority,high school,poverty,0.297150711,1,before 2015,0,1,10238,13000,sports car,0,0,0,18,7,1
female,majority,high school,middle class,0.57165395,1,after 2015,1,1,10238,10000,sedan,0,0,0,56,4,0
female,majority,high school,upper class,0.648052469,1,after 2015,0,1,92101,15000,sedan,1,1,0,61,22,0
female,majority,university,upper class,0.484014927,1,after 2015,1,1,10238,10000,sedan,0,0,0,64,9,0
male,minority,high school,middle class,0.513847778,0,after 2015,0,1,32765,8000,sedan,6,0,4,35,10,0
