countyname,neighborname
"Randolph County, AL","Cleburne County, AL"
"Randolph County, AL","Randolph County, AL"
"Randolph County, AL","Tallapoosa County, AL"
"Randolph County, AL","Carroll County, GA"
"Randolph County, AL","Heard County, GA"
"Randolph County, AL","Troup County, GA"
"Russell County, AL","Barbour County, AL"
"Russell County, AL","Bullock County, AL"
"Russell County, AL","Lee County, AL"
"Russell County, AL","Macon County, AL"
"Russell County, AL","Russell County, AL"
"Russell County, AL","Chattahoochee County, GA"
"Russell County, AL","Muscogee County, GA"
"Russell County, AL","Stewart County, GA"
"St. Clair County, AL","Blount County, AL"
"St. Clair County, AL","Calhoun County, AL"
"St. Clair County, AL","Etowah County, AL"
"St. Clair County, AL","Jefferson County, AL"
"St. Clair County, AL","St. Clair County, AL"
"St. Clair County, AL","Shelby County, AL"
"St. Clair County, AL","Talladega County, AL"
"Shelby County, AL","Bibb County, AL"
"Shelby County, AL","Chilton County, AL"
"Shelby County, AL","Coosa County, AL"
"Shelby County, AL","Jefferson County, AL"
"Shelby County, AL","St. Clair County, AL"
"Shelby County, AL","Shelby County, AL"
"Shelby County, AL","Talladega County, AL"
"Sumter County, AL","Choctaw County, AL"
"Sumter County, AL","Greene County, AL"
"Sumter County, AL","Marengo County, AL"
"Sumter County, AL","Pickens County, AL"
"Sumter County, AL","Sumter County, AL"
"Sumter County, AL","Kemper County, MS"
"Sumter County, AL","Lauderdale County, MS"
"Sumter County, AL","Noxubee County, MS"
"Talladega County, AL","Calhoun County, AL"
"Talladega County, AL","Clay County, AL"
"Talladega County, AL","Cleburne County, AL"
"Talladega County, AL","Coosa County, AL"
"Talladega County, AL","St. Clair County, AL"
"Talladega County, AL","Shelby County, AL"
"Talladega County, AL","Talladega County, AL"
"Tallapoosa County, AL","Chambers County, AL"
"Tallapoosa County, AL","Clay County, AL"
"Tallapoosa County, AL","Coosa County, AL"
"Tallapoosa County, AL","Elmore County, AL"
"Tallapoosa County, AL","Lee County, AL"
"Tallapoosa County, AL","Macon County, AL"
"Tallapoosa County, AL","Randolph County, AL"
"Tallapoosa County, AL","Tallapoosa County, AL"
"Tuscaloosa County, AL","Bibb County, AL"
"Tuscaloosa County, AL","Fayette County, AL"
"Tuscaloosa County, AL","Greene County, AL"
"Tuscaloosa County, AL","Hale County, AL"
"Tuscaloosa County, AL","Jefferson County, AL"
"Tuscaloosa County, AL","Pickens County, AL"
"Tuscaloosa County, AL","Tuscaloosa County, AL"
"Tuscaloosa County, AL","Walker County, AL"
"Walker County, AL","Blount County, AL"
"Walker County, AL","Cullman County, AL"
"Walker County, AL","Fayette County, AL"
"Walker County, AL","Jefferson County, AL"
"Walker County, AL","Marion County, AL"
"Walker County, AL","Tuscaloosa County, AL"
"Walker County, AL","Walker County, AL"
"Walker County, AL","Winston County, AL"
"Washington County, AL","Baldwin County, AL"
"Washington County, AL","Choctaw County, AL"
"Washington County, AL","Clarke County, AL"
"Washington County, AL","Mobile County, AL"
"Washington County, AL","Washington County, AL"
"Washington County, AL","Greene County, MS"
"Washington County, AL","Wayne County, MS"
"Wilcox County, AL","Butler County, AL"
"Wilcox County, AL","Clarke County, AL"
"Wilcox County, AL","Dallas County, AL"
"Wilcox County, AL","Lowndes County, AL"
"Wilcox County, AL","Marengo County, AL"
"Wilcox County, AL","Monroe County, AL"
"Wilcox County, AL","Wilcox County, AL"
"Winston County, AL","Cullman County, AL"
"Winston County, AL","Franklin County, AL"
"Winston County, AL","Lawrence County, AL"
"Winston County, AL","Marion County, AL"
"Winston County, AL","Walker County, AL"
"Winston County, AL","Winston County, AL"
"Aleutians East Borough, AK","Aleutians East Borough, AK"
"Aleutians East Borough, AK","Aleutians West Census Area, AK"
"Aleutians East Borough, AK","Lake and Peninsula Borough, AK"
"Aleutians West Census Area, AK","Aleutians East Borough, AK"
"Aleutians West Census Area, AK","Aleutians West Census Area, AK"
"Anchorage Municipality, AK","Anchorage Municipality, AK"
"Anchorage Municipality, AK","Kenai Peninsula Borough, AK"
"Anchorage Municipality, AK","Matanuska-Susitna Borough, AK"
"Anchorage Municipality, AK","Valdez-Cordova Census Area, AK"
"Bethel Census Area, AK","Bethel Census Area, AK"
"Bethel Census Area, AK","Dillingham Census Area, AK"
"Bethel Census Area, AK","Kenai Peninsula Borough, AK"
"Bethel Census Area, AK","Lake and Peninsula Borough, AK"
"Bethel Census Area, AK","Matanuska-Susitna Borough, AK"
"Bethel Census Area, AK","Wade Hampton Census Area, AK"
"Bethel Census Area, AK","Yukon-Koyukuk Census Area, AK"
"Bristol Bay Borough, AK","Bristol Bay Borough, AK"
"Bristol Bay Borough, AK","Dillingham Census Area, AK"
"Bristol Bay Borough, AK","Lake and Peninsula Borough, AK"
"Denali Borough, AK","Denali Borough, AK"
"Denali Borough, AK","Fairbanks North Star Borough, AK"
"Denali Borough, AK","Matanuska-Susitna Borough, AK"
"Denali Borough, AK","Southeast Fairbanks Census Area, AK"
"Denali Borough, AK","Yukon-Koyukuk Census Area, AK"
"Dillingham Census Area, AK","Bethel Census Area, AK"
"Dillingham Census Area, AK","Bristol Bay Borough, AK"
"Dillingham Census Area, AK","Dillingham Census Area, AK"
"Dillingham Census Area, AK","Lake and Peninsula Borough, AK"
"Fairbanks North Star Borough, AK","Denali Borough, AK"
"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK"
"Fairbanks North Star Borough, AK","Southeast Fairbanks Census Area, AK"
"Fairbanks North Star Borough, AK","Yukon-Koyukuk Census Area, AK"
"Haines Borough, AK","Haines Borough, AK"
"Haines Borough, AK","Hoonah-Angoon Census Area, AK"
"Haines Borough, AK","Juneau City and Borough, AK"
"Haines Borough, AK","Skagway Municipality, AK"
"Hoonah-Angoon Census Area, AK","Haines Borough, AK"
"Hoonah-Angoon Census Area, AK","Hoonah-Angoon Census Area, AK"
"Hoonah-Angoon Census Area, AK","Juneau City and Borough, AK"
"Hoonah-Angoon Census Area, AK","Petersburg Census Area, AK"
"Hoonah-Angoon Census Area, AK","Sitka City and Borough, AK"
"Hoonah-Angoon Census Area, AK","Yakutat City and Borough, AK"
"Juneau City and Borough, AK","Haines Borough, AK"
"Juneau City and Borough, AK","Hoonah-Angoon Census Area, AK"
"Juneau City and Borough, AK","Juneau City and Borough, AK"
"Kenai Peninsula Borough, AK","Anchorage Municipality, AK"
"Kenai Peninsula Borough, AK","Bethel Census Area, AK"
"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK"
"Kenai Peninsula Borough, AK","Kodiak Island Borough, AK"
"Kenai Peninsula Borough, AK","Lake and Peninsula Borough, AK"
"Kenai Peninsula Borough, AK","Matanuska-Susitna Borough, AK"
"Kenai Peninsula Borough, AK","Valdez-Cordova Census Area, AK"
"Ketchikan Gateway Borough, AK","Ketchikan Gateway Borough, AK"
"Ketchikan Gateway Borough, AK","Prince of Wales-Hyder Census Area, AK"
"Ketchikan Gateway Borough, AK","Wrangell City and Borough, AK"
"Kodiak Island Borough, AK","Kenai Peninsula Borough, AK"
"Kodiak Island Borough, AK","Kodiak Island Borough, AK"
"Kodiak Island Borough, AK","Lake and Peninsula Borough, AK"
"Lake and Peninsula Borough, AK","Aleutians East Borough, AK"
"Lake and Peninsula Borough, AK","Bethel Census Area, AK"
"Lake and Peninsula Borough, AK","Bristol Bay Borough, AK"
"Lake and Peninsula Borough, AK","Dillingham Census Area, AK"
"Lake and Peninsula Borough, AK","Kenai Peninsula Borough, AK"
"Lake and Peninsula Borough, AK","Kodiak Island Borough, AK"
"Lake and Peninsula Borough, AK","Lake and Peninsula Borough, AK"
"Matanuska-Susitna Borough, AK","Anchorage Municipality, AK"
"Matanuska-Susitna Borough, AK","Bethel Census Area, AK"
"Matanuska-Susitna Borough, AK","Denali Borough, AK"
"Matanuska-Susitna Borough, AK","Kenai Peninsula Borough, AK"
"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK"
"Matanuska-Susitna Borough, AK","Southeast Fairbanks Census Area, AK"
"Matanuska-Susitna Borough, AK","Valdez-Cordova Census Area, AK"
"Matanuska-Susitna Borough, AK","Yukon-Koyukuk Census Area, AK"
"Nome Census Area, AK","Nome Census Area, AK"
"Nome Census Area, AK","Northwest Arctic Borough, AK"
"Nome Census Area, AK","Wade Hampton Census Area, AK"
"Nome Census Area, AK","Yukon-Koyukuk Census Area, AK"
"North Slope Borough, AK","North Slope Borough, AK"
"North Slope Borough, AK","Northwest Arctic Borough, AK"
"North Slope Borough, AK","Yukon-Koyukuk Census Area, AK"
"Northwest Arctic Borough, AK","Nome Census Area, AK"
"Northwest Arctic Borough, AK","North Slope Borough, AK"
"Northwest Arctic Borough, AK","Northwest Arctic Borough, AK"
"Northwest Arctic Borough, AK","Yukon-Koyukuk Census Area, AK"
"Petersburg Census Area, AK","Hoonah-Angoon Census Area, AK"
"Petersburg Census Area, AK","Petersburg Census Area, AK"
"Petersburg Census Area, AK","Prince of Wales-Hyder Census Area, AK"
"Petersburg Census Area, AK","Sitka City and Borough, AK"
"Petersburg Census Area, AK","Wrangell City and Borough, AK"
"Prince of Wales-Hyder Census Area, AK","Ketchikan Gateway Borough, AK"
"Prince of Wales-Hyder Census Area, AK","Petersburg Census Area, AK"
"Prince of Wales-Hyder Census Area, AK","Prince of Wales-Hyder Census Area, AK"
"Prince of Wales-Hyder Census Area, AK","Wrangell City and Borough, AK"
"Sitka City and Borough, AK","Hoonah-Angoon Census Area, AK"
"Sitka City and Borough, AK","Petersburg Census Area, AK"
"Sitka City and Borough, AK","Sitka City and Borough, AK"
"Skagway Municipality, AK","Haines Borough, AK"
"Skagway Municipality, AK","Skagway Municipality, AK"
"Southeast Fairbanks Census Area, AK","Denali Borough, AK"
"Southeast Fairbanks Census Area, AK","Fairbanks North Star Borough, AK"
"Southeast Fairbanks Census Area, AK","Matanuska-Susitna Borough, AK"
"Southeast Fairbanks Census Area, AK","Southeast Fairbanks Census Area, AK"
"Southeast Fairbanks Census Area, AK","Valdez-Cordova Census Area, AK"
"Southeast Fairbanks Census Area, AK","Yukon-Koyukuk Census Area, AK"
"Valdez-Cordova Census Area, AK","Anchorage Municipality, AK"
"Valdez-Cordova Census Area, AK","Kenai Peninsula Borough, AK"
"Valdez-Cordova Census Area, AK","Matanuska-Susitna Borough, AK"
"Valdez-Cordova Census Area, AK","Southeast Fairbanks Census Area, AK"
"Valdez-Cordova Census Area, AK","Valdez-Cordova Census Area, AK"
"Valdez-Cordova Census Area, AK","Yakutat City and Borough, AK"
"Wade Hampton Census Area, AK","Bethel Census Area, AK"
"Wade Hampton Census Area, AK","Nome Census Area, AK"
"Wade Hampton Census Area, AK","Wade Hampton Census Area, AK"
"Wade Hampton Census Area, AK","Yukon-Koyukuk Census Area, AK"
"Wrangell City and Borough, AK","Ketchikan Gateway Borough, AK"
"Wrangell City and Borough, AK","Petersburg Census Area, AK"
"Wrangell City and Borough, AK","Prince of Wales-Hyder Census Area, AK"
"Wrangell City and Borough, AK","Wrangell City and Borough, AK"
"Yakutat City and Borough, AK","Hoonah-Angoon Census Area, AK"
"Yakutat City and Borough, AK","Valdez-Cordova Census Area, AK"
"Yakutat City and Borough, AK","Yakutat City and Borough, AK"
"Yukon-Koyukuk Census Area, AK","Bethel Census Area, AK"
"Yukon-Koyukuk Census Area, AK","Denali Borough, AK"
"Yukon-Koyukuk Census Area, AK","Fairbanks North Star Borough, AK"
"Yukon-Koyukuk Census Area, AK","Matanuska-Susitna Borough, AK"
"Yukon-Koyukuk Census Area, AK","Nome Census Area, AK"
"Yukon-Koyukuk Census Area, AK","North Slope Borough, AK"
"Yukon-Koyukuk Census Area, AK","Northwest Arctic Borough, AK"
"Yukon-Koyukuk Census Area, AK","Southeast Fairbanks Census Area, AK"
"Yukon-Koyukuk Census Area, AK","Wade Hampton Census Area, AK"
"Yukon-Koyukuk Census Area, AK","Yukon-Koyukuk Census Area, AK"
"Apache County, AZ","Apache County, AZ"
"Apache County, AZ","Graham County, AZ"
"Apache County, AZ","Greenlee County, AZ"
"Apache County, AZ","Navajo County, AZ"
"Apache County, AZ","Montezuma County, CO"
"Apache County, AZ","Catron County, NM"
"Apache County, AZ","Cibola County, NM"
"Apache County, AZ","McKinley County, NM"
